dataset	N	pert_id	pert_iname	score	is_target
GSE90594	100	BRD-K77554836	triamcinolone	3.7010476190476194	0
GSE90594	100	BRD-K75295174	alisertib	3.722761904761907	0
GSE90594	100	BRD-K71860425	CDK2-5-inhibitor	1.2296071428571396	0
GSE90594	100	BRD-K65639003	icariin	3.0436547619047594	0
GSE90594	100	BRD-K45044657	BRD-K45044657	1.8712499999999963	0
GSE90594	100	BRD-K15601958	SEW-2871	3.8554404761904753	0
GSE90594	100	BRD-K37372998	BRD-K37372998	3.321809523809524	0
GSE90594	100	BRD-K36533576	KU-C103875	2.1986964285714294	0
GSE90594	100	BRD-A39121618	BRD-A39121618	5.780297619047629	0
GSE90594	100	BRD-K61463582	BRD-K61463582	4.08720833333333	0
GSE90594	100	BRD-K06071925	BRD-K06071925	3.351297619047619	0
GSE90594	100	BRD-K78559095	BRD-K78559095	4.346285714285714	0
GSE90594	100	BRD-K81144366	moxisylyte	2.226952380952381	0
GSE90594	100	BRD-K98471960	BRD-K98471960	5.761773809523811	0
GSE90594	100	BRD-K98521173	desoxycortone	4.492666666666667	0
GSE90594	100	BRD-K00532621	midazolam	2.3723690476190455	0
GSE90594	100	BRD-K55260239	BRD-K55260239	5.516267857142858	0
GSE90594	100	BRD-K73082558	BRD-K73082558	2.722847402597403	0
GSE90594	100	BRD-K49327517	THZ-2-98-01	2.4585000000000026	0
GSE90594	100	BRD-K07516181	BRD-K07516181	4.138214285714283	0
GSE90594	100	BRD-K34388789	BRD-K34388789	2.667557142857142	0
GSE90594	100	BRD-K14993104	bemegride	4.086273809523812	0
GSE90594	100	BRD-K94381355	BRD-K94381355	8.149345238095236	0
GSE90594	100	BRD-K45542213	BRD-K45542213	2.2262976190476227	0
GSE90594	100	BRD-A63043573	cabergoline	3.047904761904763	0
GSE90594	100	BRD-K68144790	glycodeoxycholic-acid	2.818619047619048	0
GSE90594	100	BRD-K68102868	BRD-K68102868	3.74310714285714	0
GSE90594	100	BRD-K43256821	BRD-K43256821	1.9833214285714265	0
GSE90594	100	BRD-A33833419	TER-14687	4.213321428571425	0
GSE90594	100	BRD-K47695085	BRD-K47695085	4.147285714285708	0
GSE90594	100	BRD-K60667905	SA-427228	2.2588571428571473	0
GSE90594	100	BRD-K65774694	BRD-K65774694	1.1901428571428574	0
GSE90594	100	BRD-A96897502	U-74389F	7.0689642857142845	0
GSE90594	100	BRD-K86048057	BRD-K86048057	2.2931428571428536	0
GSE90594	100	BRD-K58601216	SA-1922927	3.3123928571428514	0
GSE90594	100	BRD-K73276569	BRD-K73276569	5.0442261904761905	0
GSE90594	100	BRD-K40892394	AR-C133057XX	0.9787500000000007	0
GSE90594	100	BRD-K52850071	WHI-P154	2.0425	0
GSE90594	100	BRD-K28112517	BRD-K28112517	1.748785714285713	0
GSE90594	100	BRD-K91701654	U-0126	3.354464285714296	0
GSE90594	100	BRD-K08317416	BRD-K08317416	1.2218214285714286	0
GSE90594	100	BRD-A06726973	dibutyrylcyclic-gmp	3.456499999999994	0
GSE90594	100	BRD-K49371609	PIK-75	2.8323892857142825	0
GSE90594	100	BRD-A15435692	BMY-14802	2.1036785714285697	0
GSE90594	100	BRD-A03926027	ST-014147	3.3527142857142795	0
GSE90594	100	BRD-K58223721	BRD-K58223721	4.599023809523812	0
GSE90594	100	BRD-K87730440	BRD-K87730440	3.2496130952380944	0
GSE90594	100	BRD-A32164164	methyllycaconitine	2.1208392857142853	0
GSE90594	100	BRD-K93623501	BRD-K93623501	2.226023809523811	0
GSE90594	100	BRD-A11095214	BRD-A11095214	2.9722857142857135	0
GSE90594	100	BRD-K99515112	ST-4029010	5.423285714285713	0
GSE90594	100	BRD-K58033748	BRD-K58033748	3.8127142857142817	0
GSE90594	100	BRD-K57285282	JAS07-006	1.3598333333333341	0
GSE90594	100	BRD-K45356824	SA-1973497	2.301357142857145	0
GSE90594	100	BRD-K92446736	zatebradine	0.8631785714285719	0
GSE90594	100	BRD-A92651262	nalbuphine	2.962188095238092	0
GSE90594	100	BRD-K76876037	BRD-K76876037	2.9474999999999985	0
GSE90594	100	BRD-K81300454	BRD-K81300454	3.512357142857141	0
GSE90594	100	BRD-A61189834	BRD-A61189834	1.4552857142857123	0
GSE90594	100	BRD-K82865713	prostaglandin-b2	4.196523809523818	0
GSE90594	100	BRD-K41571462	BRD-K41571462	5.830042857142867	0
GSE90594	100	BRD-K50297939	UTMB-00530	1.1426785714285694	0
GSE90594	100	BRD-K46766488	S-14506	2.868464285714289	0
GSE90594	100	BRD-K47808476	BRD-K47808476	5.81760714285714	0
GSE90594	100	BRD-K68007270	BRD-K68007270	1.540964285714285	0
GSE90594	100	BRD-K98064019	BRD-K98064019	2.8032380952380964	0
GSE90594	100	BRD-A96485169	EBPC	5.551702380952374	0
GSE90594	100	BRD-A97479839	piperidolate	3.282392857142857	0
GSE90594	100	BRD-K20401833	BRD-K20401833	2.6120425170068016	0
GSE90594	100	BRD-K07110772	SA-433965	4.203291666666664	0
GSE90594	100	BRD-A07440155	labetalol	2.0564642857142843	0
GSE90594	100	BRD-K79489641	BRD-K79489641	5.193339285714284	0
GSE90594	100	BRD-A77216878	manumycin-a	1.2497857142857163	0
GSE90594	100	BRD-K48188942	BG-STK33-59	3.7120357142857165	0
GSE90594	100	BRD-K95785537	PP-2	0.0	0
GSE90594	100	BRD-K12690157	BRD-K12690157	1.2930428571428554	0
GSE90594	100	BRD-A38878059	BL-077	1.3056071428571414	0
GSE90594	100	BRD-K23319301	BRD-K23319301	3.8481999999999985	0
GSE90594	100	BRD-A92439610	triamcinolone-acetonide	2.6661904761904722	0
GSE90594	100	BRD-K89451433	BRD-K89451433	2.6614642857142816	0
GSE90594	100	BRD-K98404142	BRD-K98404142	5.3605952380952395	0
GSE90594	100	BRD-K58900438	BRD-K58900438	3.751857142857142	0
GSE90594	100	BRD-K51683034	BRD-K51683034	3.6380833333333356	0
GSE90594	100	BRD-K88008216	BRD-K88008216	4.153726190476194	0
GSE90594	100	BRD-K84284996	PSH-025	1.7368750000000024	0
GSE90594	100	BRD-K78167523	BRD-K78167523	0.0	0
GSE90594	100	BRD-K26241953	piceatannol	2.4237714285714267	0
GSE90594	100	BRD-K53423944	BRD-K53423944	0.6245357142857162	0
GSE90594	100	BRD-K69932463	AZD-8055	0.1645	0
GSE90594	100	BRD-K18972207	BRD-K18972207	3.9840595238095196	0
GSE90594	100	BRD-A48631911	mibefradil	3.784940476190474	0
GSE90594	100	BRD-K36862742	hydroflumethiazide	1.4082142857142812	0
GSE90594	100	BRD-K95047050	BRD-K95047050	3.102071428571429	0
