Treatment	Actual_Weighted_Score	Z_Score	P_Value	Dataset
Li	0.729750000000001	0.5338097072625231	0.224977502249775	GSE90594
Zn	1.5814285714285692	2.1660926344040345	0.0475952404759524	GSE90594
Li+Zn Combo	2.31117857142857	3.425394907847858	0.0094990500949905	GSE90594
Li	2.5714295971089007	2.6782232400023385	0.0252974702529747	GSE36169
Zn	1.0415672193387522	0.8355741213711531	0.115988401159884	GSE36169
Li+Zn Combo	3.612996816447653	3.9906991348795904	0.0170982901709829	GSE36169
Li	5.118648716500001	3.0588931348803827	0.0141985801419858	GSE66663
Zn	8.127947493722223	5.727180055876088	0.0006999300069993	GSE66663
Li+Zn Combo	13.246596210222224	9.791242790974458	9.999000099990002e-05	GSE66663
