sample_id	mean_distance	z_score	is_outlier
GSM2407372	318.1448757415323	0.7220174952805772	False
GSM2407373	297.3826639069638	-1.774559809365428	False
GSM2407374	309.7575557159691	-0.28652595805998726	False
GSM2407375	313.4381630446149	0.15605312731046336	False
GSM2407376	324.5357292422462	1.4904934136620038	False
GSM2407377	323.07472647218157	1.314813366332206	False
GSM2407378	314.602337518249	0.29604069668319843	False
GSM2407379	313.5873451777571	0.17399171356654447	False
GSM2407380	326.53164057820806	1.730494189261047	False
GSM2407381	311.25130783979824	-0.10690792502800046	False
GSM2407382	309.61737082227455	-0.303382660363221	False
GSM2407383	301.0776521800063	-1.3302514699209786	False
GSM2407384	303.34482087189565	-1.0576330250715262	False
GSM2407385	317.70229445709526	0.6687987727768939	False
GSM2407386	304.3745602285493	-0.9338107691381822	False
GSM2407387	306.34636397767247	-0.6967088395123328	False
GSM2407388	319.75492052268856	0.9156192797208045	False
GSM2407389	310.2067220864293	-0.2325154039130489	False
GSM2407390	332.615149683417	2.462013108617432	False
GSM2407391	310.9921604198288	-0.1380694203642581	False
GSM2407392	303.56681642751624	-1.0309389006540168	False
GSM2407393	316.075072500254	0.47313149804522936	False
GSM2407394	308.01423660758337	-0.496153475370305	False
GSM2407395	308.7138839965764	-0.4120235278226865	False
GSM2407396	303.74829620212734	-1.009116645387747	False
GSM2407397	311.0720384589564	-0.12846438881874728	False
GSM2407398	319.5818700768913	0.894810619305489	False
GSM2407399	300.82015057893017	-1.3612150617713552	False
