Treatment	Actual_Weighted_Score	Z_Score	P_Value
Li	0.729750000000001	0.5338097072625231	0.22497750224977503
Zn	1.5814285714285692	2.1660926344040345	0.047595240475952406
Li+Zn Combo	2.31117857142857	3.425394907847858	0.009499050094990502
