sample_id	mean_distance	z_score	is_outlier
GSM882149	204.4094368204695	2.669764545817166	True
GSM882150	158.2987094967074	0.5205659329924317	False
GSM882151	130.38145024424767	-0.7806439663434102	False
GSM882152	136.44464642098168	-0.49804133635614173	False
GSM882153	134.85247269705928	-0.5722517805940625	False
GSM882154	134.31688237719797	-0.5972153853623416	False
GSM882155	132.37815370851902	-0.6875785873155913	False
GSM882156	138.78413471823927	-0.3889989226921388	False
GSM882157	141.3680006858673	-0.2685661844627109	False
GSM882158	160.06658355087401	0.6029656843167994	False
