pert_id	pert_iname
BRD-K05979026	BRD-K05979026
BRD-K03319035	maprotiline
BRD-K44931544	BRD-K44931544
BRD-K95033227	BRD-K95033227
BRD-A93236127	digitoxin
BRD-K19166598	BRD-K19166598
BRD-K25050358	BRD-K25050358
BRD-K32610195	androstenedione
BRD-A62434282	goserelin
BRD-K82747512	BRD-K82747512
BRD-K27305650	LY-294002
BRD-K98739056	BRD-K98739056
BRD-K93158953	BRD-K93158953
BRD-K72903603	zidovudine
