Gene	log2FC	pvalue	FDR	direction
ILMN_1343291	-0.006233016666667979	0.856576320730625	0.9508180056107465	Not Sig
ILMN_1343295	0.10999266999999868	0.3949651115887906	0.6893037606286524	Not Sig
ILMN_1651199	-0.08925769033333353	0.5612578758380948	0.8075390115682134	Not Sig
ILMN_1651209	-0.19444467366666807	0.15914854427724096	0.4249651881018203	Not Sig
ILMN_1651210	0.01100917800000012	0.9185888492470292	0.9729888561041232	Not Sig
ILMN_1651221	0.0264257360000002	0.6952892621459227	0.8807147053435442	Not Sig
ILMN_1651228	-0.13259142666666435	0.4777928184966706	0.752008286177734	Not Sig
ILMN_1651229	-0.354469893000001	0.045822660653243065	0.19172003450814742	Down
ILMN_1651230	-0.045362592333333396	0.510150055271499	0.7743150915167663	Not Sig
ILMN_1651232	0.4506226676666669	0.0016528837302029595	0.019666655811982296	Up
ILMN_1651235	-0.06000205366666567	0.6432037385901884	0.8537131076455236	Not Sig
ILMN_1651236	-0.098473233	0.3010255205426687	0.6041710290540312	Not Sig
ILMN_1651237	0.8496026269999994	3.535683096945571e-05	0.002246534536567103	Up
ILMN_1651238	0.1209403136666678	0.2981732631248062	0.6010985951296856	Not Sig
ILMN_1651249	-0.21573945666666727	0.06900313381127718	0.25122366125472534	Not Sig
ILMN_1651253	0.011071360999999058	0.8454992454224413	0.9465469674358234	Not Sig
ILMN_1651254	0.5309468433333322	0.0002900140615746973	0.006795857189822504	Up
ILMN_1651259	0.041201358000000354	0.7974282019936629	0.9279692367086367	Not Sig
ILMN_1651260	0.32849220599999995	0.14015336555391356	0.39358752330669255	Not Sig
ILMN_1651262	0.4411409766666683	0.0010082662082795224	0.014255546258603598	Up
ILMN_1651268	0.007324972666667762	0.9140478158470602	0.9715576391498426	Not Sig
ILMN_1651278	0.11118044033333163	0.17245965443363862	0.4457586915776963	Not Sig
ILMN_1651279	-0.09941058666666791	0.6269943747892479	0.8455063955099296	Not Sig
ILMN_1651281	0.022109129666667116	0.5519788189333238	0.8016524100792248	Not Sig
ILMN_1651282	-0.16453418233333394	0.098798432380259	0.31643909901879824	Not Sig
ILMN_1651285	-0.225254534666667	0.014162567138746123	0.08513623611392052	Not Sig
ILMN_1651286	0.07226577066666717	0.5617634908374676	0.8078519994084238	Not Sig
ILMN_1651288	-0.11090032033333319	0.38444724293062593	0.6809476269632728	Not Sig
ILMN_1651292	-0.1444303213333331	0.4143458146650016	0.7042787584720915	Not Sig
ILMN_1651296	0.8313029233333333	0.0004257893991371987	0.008435194679389696	Up
ILMN_1651303	-0.03758098966666523	0.7322401320857093	0.8981750717877706	Not Sig
ILMN_1651309	-0.044020032333334846	0.6015880531006536	0.8305867458039974	Not Sig
