Gene	log2FC	pvalue	FDR	direction	Symbol
ILMN_1343291	-0.0062330166666679	0.856576320730625	0.9508180056107464	Not Sig	EEF1A1
ILMN_1343295	0.1099926699999986	0.3949651115887906	0.6893037606286524	Not Sig	GAPDH
ILMN_1651199	-0.0892576903333335	0.5612578758380948	0.8075390115682134	Not Sig	LOC643334
ILMN_1651209	-0.194444673666668	0.1591485442772409	0.4249651881018203	Not Sig	SLC35E2
ILMN_1651210	0.0110091780000001	0.9185888492470292	0.9729888561041232	Not Sig	DUSP22
ILMN_1651221	0.0264257360000002	0.6952892621459227	0.8807147053435442	Not Sig	LOC642820
ILMN_1651228	-0.1325914266666643	0.4777928184966706	0.752008286177734	Not Sig	RPS28
ILMN_1651229	-0.354469893000001	0.045822660653243	0.1917200345081474	Down	IPO13
ILMN_1651230	-0.0453625923333333	0.510150055271499	0.7743150915167663	Not Sig	TESSP1
ILMN_1651232	0.4506226676666669	0.0016528837302029	0.0196666558119822	Up	LOC653113
ILMN_1651235	-0.0600020536666656	0.6432037385901884	0.8537131076455236	Not Sig	AFAP1
ILMN_1651236	-0.098473233	0.3010255205426687	0.6041710290540312	Not Sig	GGTLC1
ILMN_1651237	0.8496026269999994	3.535683096945571e-05	0.0022465345365671	Up	CDT1
ILMN_1651238	0.1209403136666678	0.2981732631248062	0.6010985951296856	Not Sig	TRPV1
ILMN_1651249	-0.2157394566666672	0.0690031338112771	0.2512236612547253	Not Sig	LOC652879
ILMN_1651253	0.011071360999999	0.8454992454224413	0.9465469674358234	Not Sig	LOC644150
ILMN_1651254	0.5309468433333322	0.0002900140615746	0.0067958571898225	Up	LPP
ILMN_1651259	0.0412013580000003	0.7974282019936629	0.9279692367086368	Not Sig	FLJ36848
ILMN_1651260	0.3284922059999999	0.1401533655539135	0.3935875233066925	Not Sig	CCNE2
ILMN_1651262	0.4411409766666683	0.0010082662082795	0.0142555462586035	Up	HNRNPAB
ILMN_1651268	0.0073249726666677	0.9140478158470602	0.9715576391498426	Not Sig	LOH12CR1
ILMN_1651278	0.1111804403333316	0.1724596544336386	0.4457586915776963	Not Sig	SNIP1
ILMN_1651279	-0.0994105866666679	0.6269943747892479	0.8455063955099296	Not Sig	LOC645349
ILMN_1651281	0.0221091296666671	0.5519788189333238	0.8016524100792248	Not Sig	LOC389669
ILMN_1651282	-0.1645341823333339	0.098798432380259	0.3164390990187982	Not Sig	COL17A1
ILMN_1651285	-0.225254534666667	0.0141625671387461	0.0851362361139205	Not Sig	BCL6B
ILMN_1651286	0.0722657706666671	0.5617634908374676	0.8078519994084238	Not Sig	GRHL1
ILMN_1651288	-0.1109003203333331	0.3844472429306259	0.6809476269632728	Not Sig	LOC339760
ILMN_1651292	-0.1444303213333331	0.4143458146650016	0.7042787584720915	Not Sig	LOC644613
ILMN_1651296	0.8313029233333333	0.0004257893991371	0.0084351946793896	Up	LOC143666
ILMN_1651303	-0.0375809896666652	0.7322401320857093	0.8981750717877706	Not Sig	ATP13A4
ILMN_1651309	-0.0440200323333348	0.6015880531006536	0.8305867458039974	Not Sig	DIAPH2
ILMN_1651310	0.0002068616666663	0.9986450273893808	0.999531617746777	Not Sig	MLLT4
ILMN_1651315	0.4297497033333339	0.0007063937698404	0.0114049647390235	Up	HMG20B
ILMN_1651316	-0.0650266140000006	0.5309738056606914	0.7883287973322869	Not Sig	CD69
ILMN_1651325	-0.0407431099999993	0.758247644587328	0.9101126394209496	Not Sig	LOC653493
ILMN_1651328	-0.1570055596666675	0.059392658131294	0.227638975198514	Not Sig	LAT1-3TM
ILMN_1651329	0.1307164756666665	0.2350903552689153	0.5300821947029145	Not Sig	LOC646360
ILMN_1651330	0.0707442090000007	0.5396474312869194	0.7940411101532224	Not Sig	KCNG4
ILMN_1651336	-0.4499650859999997	0.0025451135265883	0.026254738490153	Down	MLYCD
ILMN_1651339	0.1309873766666669	0.0265039332562391	0.1325420797554083	Not Sig	UHRF1BP1L
ILMN_1651341	-0.2124843743333331	0.1612531173156257	0.4281048537872982	Not Sig	LOC401010
ILMN_1651343	1.2347960796666655	0.0006415545421107	0.0107598557847421	Up	ITGA11
ILMN_1651346	-0.0107525866666673	0.8203792477460384	0.9368670521468336	Not Sig	TICAM2
ILMN_1651347	0.4231720733333333	0.0013879137514442	0.0175700893104964	Up	SERTAD2
ILMN_1651351	-0.1976294643333345	0.0513244423326682	0.2066607130712288	Not Sig	LOC729444
ILMN_1651354	-1.0198144656666672	0.00012130731093	0.0041238154464852	Down	SPP1
ILMN_1651358	-0.1215572379999994	0.2271853757581993	0.5197931724278406	Not Sig	HBE1
ILMN_1651364	-0.2030197353333322	0.3231214557667607	0.6256642857487688	Not Sig	PCBD2
ILMN_1651365	0.0421025376666657	0.7051302974134928	0.8863921499848195	Not Sig	ZBED2
ILMN_1651369	0.0487817160000005	0.7510763639392859	0.9063340634945348	Not Sig	LOC652300
ILMN_1651370	0.1555814243333335	0.3976480094480785	0.6913355639619896	Not Sig	USP21
ILMN_1651373	-0.0751972943333338	0.4920504759561114	0.762095113411186	Not Sig	RHD
ILMN_1651378	0.0582345063333331	0.6808497680455867	0.8735097219826795	Not Sig	AUP1
ILMN_1651380	0.1401409510000002	0.3351137774570054	0.637510120203035	Not Sig	LOC644783
ILMN_1651385	0.4493886753333349	0.0117592259293033	0.0745617826381826	Up	MFN2
ILMN_1651388	-0.1319776370000003	0.202635862641084	0.4885855583805532	Not Sig	LOC645448
ILMN_1651395	0.2201043519999999	0.1878181801459405	0.4676228864977714	Not Sig	LOC644897
ILMN_1651396	-0.0901832830000008	0.1761691018127023	0.4513516311159125	Not Sig	LOC643038
ILMN_1651403	-0.1496397770000008	0.4321885618116066	0.7189920343982659	Not Sig	LOC642161
ILMN_1651404	-0.0049510176666665	0.963036102500676	0.9886125030122702	Not Sig	LILRA6
ILMN_1651405	0.5270998233333337	0.0014984886727699	0.018413117436728	Up	BRD9
ILMN_1651408	0.0846073999999994	0.5040312225845233	0.769929256636378	Not Sig	LOC648934
ILMN_1651415	0.0547004730000004	0.387829002355918	0.6836941202177609	Not Sig	DERL3
ILMN_1651428	-0.056685932333333	0.632721497204208	0.848707178044846	Not Sig	SYTL2
ILMN_1651429	-0.2650756433333345	0.079757405775803	0.2757152614133495	Not Sig	SELM
ILMN_1651430	-0.0488973930000007	0.4838191115839593	0.7564700575342549	Not Sig	CTRB2
ILMN_1651433	0.5349428373333325	0.0129903713881971	0.0800758988693599	Up	DCK
