sample_id	Group
GSM882149	Control
GSM882150	AGA
GSM882151	Control
GSM882152	AGA
GSM882153	Control
GSM882154	AGA
GSM882155	Control
GSM882156	AGA
GSM882157	Control
GSM882158	AGA
