ID_REF	GSM882149	GSM882150	GSM882151	GSM882152	GSM882153	GSM882154	GSM882155	GSM882156	GSM882157	GSM882158
1007_s_at	8.55742257415099	9.015766274510467	9.22997694998742	8.985535893845116	9.159094039408616	9.110026743029211	8.998742870698047	8.912035019839264	8.823854744007457	8.617663166321366
1053_at	5.341629831439019	5.302699015410729	5.396809500922193	5.48286492945367	5.551832206964187	5.649540592169057	5.623478108021563	5.431591471447316	5.590905418141215	5.420586959013307
117_at	4.538516125736033	4.440829643452812	3.934672085356251	4.16683055073042	3.75638039973911	4.087093464037571	4.04521054113735	4.449282184459465	4.064952157210586	4.074724632632656
121_at	7.607055731657304	7.365447676039189	6.7616764157119285	6.844003309248778	6.770707098797858	6.753938564725978	6.755305689527574	6.381007475695729	7.045187601973277	7.069150590336495
1294_at	5.021566206568641	5.04832905441291	4.822852899247276	4.759052795696575	4.421771183614509	4.715163219452562	4.787064377784405	4.9768683990268	4.80798323348384	4.912694649058118
1316_at	4.84977798590421	4.218340931420896	3.7015462846593907	3.7565215239664536	3.6626797105526183	3.693690899739248	3.7901539650078715	3.420647183584981	4.212456580123243	4.095156634475252
1431_at	4.101795447522473	3.777376789110455	3.6682341997673924	3.7549500175940826	3.43483075779675	4.110921686777702	3.6728049188459972	3.9841758947422665	3.7516768746440916	3.7745705468721784
1438_at	6.012363964330739	5.898437341611013	6.557640758333651	6.132636371118933	6.688835802087098	6.611768755674443	6.547789733064457	6.3121866642440425	5.614038687617185	3.4382565175656987
1487_at	6.057256383470876	6.091221677078199	6.177450036090537	6.4238313262868525	6.060950082988154	6.214113145593655	6.0888126146255335	6.278507257791489	6.1481129822974925	6.140376010805765
1494_f_at	4.382695539249698	3.4456213043777146	3.088564079750599	3.1176384307374962	3.086585500817176	3.068039704209977	3.090135206124544	2.973516960036434	3.491861816593345	3.345822705142063
1598_g_at	7.645438247015612	8.083047012515388	7.926010867529828	7.588734870643527	7.492898751350845	7.8152444957893055	7.454393646697647	7.996169579814317	7.339526428879829	7.56053047944827
160020_at	5.957254047747077	5.8685966434475905	5.593101546237866	5.937230841366722	5.381122929525184	5.589901968278159	5.410797641552548	5.471212827660175	5.546581878104846	5.566607257025358
1729_at	5.805040374735182	5.984239798513149	6.102584315218022	5.960521324656007	5.904704459362127	6.138877937570695	6.1868663748570665	6.128325574202418	6.055059614113412	6.062398150150171
1773_at	4.091673264611047	3.979642633603027	3.9393741313634956	3.949352833801465	4.1096104600173025	4.139027385019571	4.093042058265954	4.0551725695482395	3.9130294564190775	3.7910548159017434
177_at	4.491108473559375	4.830403298304309	4.5154588959772095	4.516928585649478	4.539607310954564	4.939271814066891	4.556243502435796	4.58129254986069	4.410677924815103	4.804335191655127
179_at	6.960129671554355	6.4107578614271326	6.391241698775963	6.419447371857821	5.981943960213026	6.1496030460034286	6.178105489754529	5.920096988851065	6.318850612060781	6.1321975301627765
1861_at	2.7785694153344234	2.791647604758609	2.7347664707728168	2.735721173171524	2.7328574472876386	2.7299106101503328	2.7348507129652457	2.730948849770506	2.7483668965565786	2.5540801966694855
200000_s_at	8.057434025526645	8.199723574322114	8.234100335261083	8.232783342291022	8.01523807093992	8.261565603481761	8.16541384186589	8.24486803612047	7.770193168874103	7.736483991778567
200001_at	7.926976940317304	8.664428795176967	9.108369724664811	8.999640972228072	9.051613273981346	9.016525736882707	8.754874644754539	9.027341106813212	8.387251937214904	8.269073833922386
200002_at	11.550271916301293	11.631721147486441	12.134984550590598	11.832975276187675	12.054682995939732	12.151172188027854	12.048374818963596	11.956940817914608	11.683974037632323	12.09507983238956
200003_s_at	11.608666314922917	11.73252737600014	12.157975608748899	12.130822143794871	12.098317928085821	12.286077283794977	12.038762471703912	11.807344456039992	11.963414010429142	12.218426406756276
200004_at	11.214709069369125	11.449598411288838	11.06933107083581	10.929640857087016	11.366897647357229	11.309793279924259	11.286178441196162	11.30665613735222	11.57315863323137	11.527480818054451
200005_at	8.305366840531129	8.89485283007005	9.55559531749085	9.42025489981651	9.46274901267373	9.587635395898642	9.633039894558864	9.532530947382892	9.229877961033914	9.306538178715604
200006_at	9.017679907891063	9.550678880938621	9.893359935313557	10.140194154917092	9.893623863615147	9.9088064542582	9.918180030966411	10.039580392875354	9.953034167521398	10.29396449503202
200007_at	11.189479716025545	11.356989716825547	11.334003048023229	11.139413215409492	11.412477333533422	11.202953135074832	11.427536879269429	11.329511302128587	11.491480051323395	11.297012364230502
200008_s_at	8.342685761098206	8.602966114596061	9.189769221570604	9.159490939758527	8.951202522726417	9.113845546809188	9.109491783518067	9.2310002226075	8.33122330625538	8.34163089878404
200009_at	9.861740546959792	9.827615019973436	10.305058975682247	10.256099803999701	9.819693407450043	10.214998290545715	10.19192148850296	10.342033876276078	9.696465207102515	9.876130390642118
200010_at	11.903199679768777	12.127124670774123	11.605860513326753	11.95562030509833	12.01887650094019	12.128049113983447	11.990173330712459	11.74815258777071	11.830465016795277	12.077541771140151
